LifeForm,category,mean_prop,sd_prop,median_prop,iqr_prop
"Bacteria, Viruses, Fungi",Detection,0.4622496147919877,NA,0.4622496147919877,0
"Bacteria, Viruses, Fungi",Invasion,0.11556240369799692,NA,0.11556240369799692,0
"Bacteria, Viruses, Fungi",Threat,0.11556240369799692,NA,0.11556240369799692,0
"Bacteria, Viruses, Fungi",eCommerce,0.423728813559322,NA,0.423728813559322,0
Birds,Detection,0.9822804314329738,1.3346776686494928,0.9822804314329738,0.9437596302003081
Birds,Invasion,0.07704160246533127,NA,0.07704160246533127,0
Birds,Threat,0.6548536209553159,NA,0.6548536209553159,0
Birds,eCommerce,5.739599383667181,7.626729535139958,5.739599383667181,5.3929121725731894
Crustaceans,Detection,0.3852080123266564,NA,0.3852080123266564,0
Crustaceans,Invasion,0.07704160246533127,NA,0.07704160246533127,0
Crustaceans,Threat,0.11556240369799692,NA,0.11556240369799692,0
Crustaceans,eCommerce,1.5215716486902928,1.9339207035533466,1.5215716486902928,1.36748844375963
Fishes,Detection,0.5778120184899846,NA,0.5778120184899846,0
Fishes,Invasion,0.11556240369799692,NA,0.11556240369799692,0
Fishes,Threat,0.03852080123266564,NA,0.03852080123266564,0
Fishes,eCommerce,2.542372881355932,NA,2.542372881355932,0
Herptiles,Detection,0.75115562403698,0.9533411918924948,0.75115562403698,0.6741140215716487
Herptiles,Invasion,0.2696456086286595,NA,0.2696456086286595,0
Herptiles,Threat,0.5007704160246533,0.5992430349038539,0.5007704160246533,0.423728813559322
Herptiles,eCommerce,4.006163328197227,4.140224604790262,4.006163328197227,2.9275808936825887
Insects,Detection,28.35130970724191,NA,28.35130970724191,0
Insects,Invasion,16.294298921417564,NA,16.294298921417564,0
Insects,Threat,4.949922958397535,6.891294901394319,4.949922958397535,4.872881355932204
Insects,eCommerce,8.667180277349768,NA,8.667180277349768,0
Non-arthropod invertebrates,Detection,0.03852080123266564,NA,0.03852080123266564,0
Non-arthropod invertebrates,Invasion,0.11556240369799692,NA,0.11556240369799692,0
Non-arthropod invertebrates,eCommerce,0.1926040061633282,NA,0.1926040061633282,0
Plants,Detection,0.847457627118644,NA,0.847457627118644,0
Plants,Invasion,1.5408320493066257,NA,1.5408320493066257,0
Plants,Threat,0.23112480739599384,NA,0.23112480739599384,0
Plants,eCommerce,0.847457627118644,NA,0.847457627118644,0
