LifeForm,category,mean_prop,sd_prop,median_prop,iqr_prop
"Bacteria, Viruses, Fungi",Detection,0.4611837048424289,NA,0.4611837048424289,0
"Bacteria, Viruses, Fungi",Invasion,0.11529592621060722,NA,0.11529592621060722,0
"Bacteria, Viruses, Fungi",Threat,0.11529592621060722,NA,0.11529592621060722,0
"Bacteria, Viruses, Fungi",eCommerce,0.42275172943889316,NA,0.42275172943889316,0
Birds,Detection,0.9800153727901615,1.3316000106895016,0.9800153727901615,0.9415833973866257
Birds,Invasion,0.07686395080707148,NA,0.07686395080707148,0
Birds,Threat,0.6533435818601077,NA,0.6533435818601077,0
Birds,eCommerce,5.726364335126825,7.609142918225722,5.726364335126825,5.380476556495003
Crustaceans,Detection,0.3843197540353574,NA,0.3843197540353574,0
Crustaceans,Invasion,0.07686395080707148,NA,0.07686395080707148,0
Crustaceans,Threat,0.11529592621060722,NA,0.11529592621060722,0
Crustaceans,eCommerce,1.5180630284396617,1.9294612399786655,1.5180630284396617,1.3643351268255188
Fishes,Detection,0.5764796310530361,NA,0.5764796310530361,0
Fishes,Invasion,0.11529592621060722,NA,0.11529592621060722,0
Fishes,Threat,0.03843197540353574,NA,0.03843197540353574,0
Fishes,eCommerce,2.536510376633359,NA,2.536510376633359,0
Herptiles,Detection,0.7494235203689469,0.9511428647782153,0.7494235203689469,0.6725595695618753
Herptiles,Invasion,0.2690238278247502,NA,0.2690238278247502,0
Herptiles,Threat,0.4996156802459646,0.5978612292891639,0.4996156802459646,0.4227517294388931
Herptiles,eCommerce,3.9969254419677176,4.130677584179678,3.9969254419677176,2.9208301306687163
Insects,Detection,28.401229823212912,NA,28.401229823212912,0
Insects,Invasion,16.295157571099153,NA,16.295157571099153,0
Insects,Threat,4.9577248270561105,6.902579647247619,4.9577248270561105,4.880860876249038
Insects,eCommerce,8.685626441199078,NA,8.685626441199078,0
Non-arthropod invertebrates,Detection,0.03843197540353574,NA,0.03843197540353574,0
Non-arthropod invertebrates,Invasion,0.11529592621060722,NA,0.11529592621060722,0
Non-arthropod invertebrates,eCommerce,0.1921598770176787,NA,0.1921598770176787,0
Plants,Detection,0.8455034588777863,NA,0.8455034588777863,0
Plants,Invasion,1.5372790161414296,NA,1.5372790161414296,0
Plants,Threat,0.23059185242121444,NA,0.23059185242121444,0
Plants,eCommerce,0.8455034588777863,NA,0.8455034588777863,0
